Citation.cff Field,Path (Citation.cff),GitHub API Field,Path (GitHub API)
cff-version,cff-version,n/a,n/a
title,title,name,n/a
authors[*].name,authors[*].name,owner.login,/users/{username}
authors[*].affiliation,authors[*].affiliation,n/a,n/a
version,version,tag_name,/repos/{owner}/{repo}/releases/latest
doi,doi,n/a,n/a
license,license.spdx_id,license.spdx_id,/repos/{owner}/{repo}
repository,repository,html_url,/repos/{owner}/{repo}
description,description,description,/repos/{owner}/{repo}
keywords,keywords,topics,/repos/{owner}/{repo}
date-released,date-released,published_at,/repos/{owner}/{repo}/releases/latest
date-accessed,date-accessed,n/a,n/a
identifiers,identifiers[doi],n/a,n/a
